,선명,역명,도로명주소,latlon,name
0,1호선,괴정,부산광역시 사하구 낙동대로 지하 221(괴정동),"(35.0998988696447, 128.992503863017)",1호선 괴정
1,1호선,교대,부산광역시 연제구 중앙대로 지하 1217,"(35.1960996522297, 129.079888998569)",1호선 교대
2,1호선,구서,부산광역시 금정구 금정로 233번길 46(구서동),"(35.2472673132823, 129.091293977961)",1호선 구서
3,1호선,남산(부산외국대학교),부산광역시 금정구 중앙대로 2019-1,"(35.2652746489271, 129.092499307916)",1호선 남산(부산외국대학교)
4,1호선,남포,부산광역시 중구 구덕로 지하 12,"(35.097872305432, 129.034595436377)",1호선 남포
5,1호선,낫개,부산시 사하구 다대로 지하 422 낫개역,"(35.0652247168173, 128.979656787874)",1호선 낫개
6,1호선,노포(종합버스터미널),부산광역시 금정구 중앙대로 2238(노포동),"(35.2846866758906, 129.095480074212)",1호선 노포(종합버스터미널)
7,1호선,다대포항,부산시 사하구 다대로 지하 548 다대포항역,"(35.057535780256, 128.971136541648)",1호선 다대포항
8,1호선,다대포해수욕장,부산시 사하구 다대로 지하 692 다대포해수욕장역,"(35.0481940896552, 128.965824285746)",1호선 다대포해수욕장
9,1호선,당리(사하구청),부산광역시 사하구 낙동대로 지하 405(당리동),"(35.103490469216, 128.973849682519)",1호선 당리(사하구청)
10,1호선,대티(동주대학),부산광역시 사하구 낙동대로 지하 141(괴정동),"(35.1030802302734, 128.999916782834)",1호선 대티(동주대학)
11,1호선,동대신,부산광역시 서구 구덕로 지하 290,"(35.1104877877446, 129.017620766092)",1호선 동대신
12,1호선,동래,부산광역시 동래구 중앙대로 1324,"(35.205618039108, 129.078480143881)",1호선 동래
13,1호선,동매,부산시 사하구 신산로 지하 168 동매역,"(35.0897612301849, 128.973447214501)",1호선 동매
