,지점,도로명주소,latlon
324,진주하대점,경남 진주시 하대로 96,"(35.1932019, 128.1218612)"
325,마산창동점,경남 창원시 마산합포구 동서북10길,"(35.2046857, 128.5731116)"
326,마산산호점,경남 창원시 마산합포구 45,"(35.1969737, 128.5673576)"
327,경남대점,경남 창원시 마산합포구 월영동2길,"(35.1794664, 128.5590308)"
328,마산합성점,경남 창원시 마산회원구 3.15대로,"(35.2372192, 128.5818197)"
329,마산내서점,경남 창원시 마산회원구 내서읍,"(35.2331873, 128.5037789)"
330,창원대방점,경남 창원시 성산구 가양로124번길,"(35.2077233, 128.7076207)"
331,창원성원점,경남 창원시 성산구 동산로,"(0.0, 0.0)"
332,창원고인돌사거리점,경남 창원시 성산구 마디미로73번길,"(0.0, 0.0)"
333,창원상남점,경남 창원시 성산구 마디미로9번길,"(0.0, 0.0)"
334,창원도계점,경남 창원시 의창구 도계로,"(35.257438, 128.6392826)"
335,창원감계점,경남 창원시 의창구 북면,"(0.0, 0.0)"
336,창원용호점,경남 창원시 의창구 용지로153번길,"(0.0, 0.0)"
337,창원시티세븐점,경남 창원시 의창구 원이대로,"(35.2402157, 128.653581)"
